2026-02-25 14:27:40 | WARNING  | Failed to fetch A-share price 601988.SH (normalized=601988): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:27:45 | WARNING  | Failed to fetch A-share price 600030.SH (normalized=600030): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:27:50 | WARNING  | Failed to fetch A-share price 601318.SH (normalized=601318): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:27:55 | WARNING  | Failed to fetch A-share price 601628.SH (normalized=601628): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:28:01 | WARNING  | Failed to fetch A-share price 600028.SH (normalized=600028): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:28:06 | WARNING  | Failed to fetch A-share price 601857.SH (normalized=601857): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:28:12 | WARNING  | Failed to fetch A-share price 002594.SZ (normalized=002594): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:28:17 | WARNING  | Failed to fetch A-share price 601088.SH (normalized=601088): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:28:23 | WARNING  | Failed to fetch A-share price 601398.SH (normalized=601398): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:28:28 | WARNING  | Failed to fetch A-share price 601939.SH (normalized=601939): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:28:34 | WARNING  | Failed to fetch A-share price 601288.SH (normalized=601288): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:28:39 | WARNING  | Failed to fetch A-share price 601988.SH (normalized=601988): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:28:44 | WARNING  | Failed to fetch A-share price 600030.SH (normalized=600030): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:28:50 | WARNING  | Failed to fetch A-share price 601318.SH (normalized=601318): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:28:55 | WARNING  | Failed to fetch A-share price 601628.SH (normalized=601628): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:29:01 | WARNING  | Failed to fetch A-share price 600028.SH (normalized=600028): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:29:06 | WARNING  | Failed to fetch A-share price 601857.SH (normalized=601857): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:29:12 | WARNING  | Failed to fetch A-share price 002594.SZ (normalized=002594): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:29:17 | WARNING  | Failed to fetch A-share price 601088.SH (normalized=601088): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:29:17 | INFO     | Latest report refreshed (mode=live): D:\Code\test\tools\ah_recommendation_system\backend\data\daily_reports\report_20260225.json
2026-02-25 14:32:02 | INFO     | AH recommendation server stopped
2026-02-25 14:35:53 | INFO     | AH recommendation server starting
2026-02-25 14:35:53 | INFO     | Data mode: mock
2026-02-25 14:35:53 | INFO     | Hourly refresh enabled
2026-02-25 14:37:38 | INFO     | AH recommendation server starting
2026-02-25 14:37:38 | INFO     | Data mode: mock
2026-02-25 14:37:38 | INFO     | Hourly refresh enabled
2026-02-25 14:37:48 | WARNING  | Failed to fetch A-share price 601398.SH (normalized=601398): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:37:53 | WARNING  | Failed to fetch H-share price 1398.HK (normalized=1398): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:37:53 | WARNING  | 无法获取 601398.SH/1398.HK 的数据
2026-02-25 14:37:58 | WARNING  | Failed to fetch A-share price 601939.SH (normalized=601939): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:38:03 | WARNING  | Failed to fetch H-share price 0939.HK (normalized=0939): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:38:03 | WARNING  | 无法获取 601939.SH/0939.HK 的数据
2026-02-25 14:38:08 | WARNING  | Failed to fetch A-share price 601288.SH (normalized=601288): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:38:14 | WARNING  | Failed to fetch H-share price 1288.HK (normalized=1288): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-02-25 14:38:14 | WARNING  | 无法获取 601288.SH/1288.HK 的数据
